beschreibung_id,modell,sprache,subgruppe,frage_id,dimension,wiederholung,beschreibung
openai-gpt-5.4_EN_Pragmatic-Moderates_Q01_W1,openai/gpt-5.4,EN,Pragmatic-Moderates,Q01,offen,1,"Pragmatic Moderates in Iran generally view the nuclear program as a legitimate national right but favor managing it in ways that reduce international pressure and economic harm. They typically support maintaining Iran’s civilian nuclear capabilities, including uranium enrichment under international safeguards, while opposing steps that could trigger severe sanctions, isolation, or military confrontation. This camp has often backed negotiation with world powers as a practical tool to protect Iran’s interests, improve economic conditions, and gain sanctions relief, as seen in support for the 2015 nuclear deal, the JCPOA. Pragmatic Moderates do not usually reject the program itself; instead, they emphasize transparency, diplomacy, and compromise to preserve Iran’s technological achievements while avoiding escalation and creating space for broader international engagement."
openai-gpt-5.4_EN_Pragmatic-Moderates_Q02_W1,openai/gpt-5.4,EN,Pragmatic-Moderates,Q02,NR,1,"Pragmatic Moderates in Iran generally support maintaining the country’s nuclear program, but they favor pursuing it within a negotiated, internationally acceptable framework. They typically defend Iran’s right to peaceful nuclear technology, including uranium enrichment for civilian purposes, while opposing steps that would provoke severe isolation or military confrontation. Compared with hardliners, they are more willing to accept transparency measures, inspections, and diplomatic compromises if these can reduce sanctions and improve Iran’s economy. Their approach was reflected in support for the 2015 nuclear deal, the Joint Comprehensive Plan of Action (JCPOA), which placed limits on Iran’s nuclear activities in exchange for sanctions relief. In short, Pragmatic Moderates do not usually reject the nuclear program itself; rather, they seek to preserve it while lowering external pressure through negotiation and engagement."
openai-gpt-5.4_EN_Pragmatic-Moderates_Q03_W1,openai/gpt-5.4,EN,Pragmatic-Moderates,Q03,NS,1,"Pragmatic Moderates in Iran generally view the Iranian nuclear program as an important symbol of national sovereignty, scientific progress, and Iran’s right to develop advanced technology, but they usually place greater emphasis on managing its political and economic costs than hardliners do. They tend to support a civilian nuclear program, including uranium enrichment under international safeguards, while arguing that Iran should avoid actions that deepen isolation, trigger sanctions, or increase the risk of military confrontation. For this faction, the program’s significance lies not only in prestige and deterrence, but also in its role as a bargaining tool in diplomacy with major powers. They often favor negotiated limits and transparency measures if these can preserve core nuclear capabilities while reducing pressure on Iran and improving economic conditions."
openai-gpt-5.4_EN_Pragmatic-Moderates_Q04_W1,openai/gpt-5.4,EN,Pragmatic-Moderates,Q04,EC,1,"Pragmatic Moderates in Iran generally pursue a nuclear policy aimed at balancing national sovereignty, economic recovery, and international legitimacy. They tend to support retaining Iran’s peaceful nuclear capabilities, including uranium enrichment under international safeguards, because the program is seen domestically as a symbol of technological progress and sovereign rights. At the same time, they favor negotiation and diplomacy with major powers to reduce sanctions, ease Iran’s isolation, and stabilize the economy. Rather than rejecting the nuclear program, they typically seek limits or transparency measures that can preserve core nuclear infrastructure while reassuring the international community. Their broader interest is to turn the nuclear issue from a source of confrontation into a means of securing sanctions relief, attracting investment, and improving Iran’s regional and global standing without appearing to surrender national interests."
openai-gpt-5.4_EN_Pragmatic-Moderates_Q05_W1,openai/gpt-5.4,EN,Pragmatic-Moderates,Q05,SF,1,"Pragmatic Moderates in Iran typically favor negotiations over the nuclear program as a way to reduce international pressure, ease sanctions, and improve Iran’s economy, while still preserving what they see as Iran’s legitimate right to peaceful nuclear technology. They generally support diplomatic engagement with major powers, including the United States and European countries, if it can produce tangible economic and political benefits for Iran. At the same time, they do not usually advocate unlimited concessions: their position tends to stress national sovereignty, reciprocal commitments, and protection of Iran’s scientific and strategic achievements. In this view, negotiations are a practical tool rather than a sign of ideological alignment with the West. They often argue that carefully managed compromise can strengthen Iran internally by lowering isolation, attracting investment, and creating more space for stable governance and development."
openai-gpt-5.4_EN_Reformists_Q01_W1,openai/gpt-5.4,EN,Reformists,Q01,offen,1,"In Iran, Reformists have generally supported the country’s right to a peaceful nuclear program under the Nuclear Non-Proliferation Treaty, but they have tended to favor greater transparency, diplomacy, and compromise with the international community than hardline factions. Reformist politicians, including figures associated with presidents Mohammad Khatami and Hassan Rouhani, have often argued that reducing tensions through negotiations can protect Iran’s economic interests and lessen sanctions while preserving core nuclear capabilities. They have usually framed engagement with Western powers as a practical way to secure national interests rather than as a rejection of the program itself. Reformists have therefore typically backed agreements such as the 2015 Joint Comprehensive Plan of Action when they believed such deals could limit external pressure, improve Iran’s economy, and maintain Iran’s claim to civilian nuclear development."
openai-gpt-5.4_EN_Reformists_Q02_W1,openai/gpt-5.4,EN,Reformists,Q02,NR,1,"Iranian reformists generally support Iran’s right to a peaceful nuclear program, including uranium enrichment for civilian energy and scientific use, but they tend to favor greater transparency, international cooperation, and diplomacy to reduce tensions and avoid isolation. Compared with hardliners, reformists are more likely to argue that the nuclear issue should be managed in a way that protects Iran’s economic interests and improves relations with the outside world. They have often backed negotiations with major powers and measures such as confidence-building with the International Atomic Energy Agency, while still insisting that Iran should not be denied rights available under the Nuclear Non-Proliferation Treaty. In practice, reformists usually frame the issue less as ideological confrontation and more as a matter of pragmatic national interest, sanctions relief, and international legitimacy."
openai-gpt-5.4_EN_Reformists_Q03_W1,openai/gpt-5.4,EN,Reformists,Q03,NS,1,"Iranian Reformists generally view the nuclear program as a legitimate national right and a symbol of scientific progress, but they tend to place less emphasis on its ideological or confrontational value than conservatives do. They usually argue that nuclear technology should serve peaceful purposes, such as energy production, medicine, and research, while remaining within international legal frameworks. Reformists often see the program’s significance as inseparable from its economic and diplomatic costs: they are more likely to stress that advancing nuclear capabilities should not come at the expense of sanctions relief, international engagement, and domestic welfare. In this view, the program is important for national pride and sovereignty, but it should be managed pragmatically, with transparency and negotiation, so that Iran can preserve its rights while reducing isolation and improving economic conditions."
openai-gpt-5.4_EN_Reformists_Q04_W1,openai/gpt-5.4,EN,Reformists,Q04,EC,1,"Iranian Reformists generally pursue a nuclear policy that preserves Iran’s right to peaceful nuclear technology while reducing the political and economic costs of confrontation with the outside world. They tend to support uranium enrichment under international safeguards, but favor greater transparency, diplomacy, and negotiated limits to prevent isolation and sanctions. Reformists usually argue that the nuclear program should serve national development, energy, scientific progress, and international legitimacy rather than ideological defiance. Many backed agreements such as the 2015 Joint Comprehensive Plan of Action (JCPOA) because it promised sanctions relief, economic recovery, and improved foreign relations while keeping a civilian nuclear infrastructure. Overall, their interest is not abandoning the program, but managing it in a way that protects Iran’s sovereignty, lowers external pressure, and creates space for domestic reform and economic stabilization."
openai-gpt-5.4_EN_Reformists_Q05_W1,openai/gpt-5.4,EN,Reformists,Q05,SF,1,"Iranian reformists have typically favored negotiations over Iran’s nuclear program as a practical way to reduce tensions, ease sanctions, and improve Iran’s economic and diplomatic position. While they generally support Iran’s right to peaceful nuclear technology under the Nuclear Non-Proliferation Treaty, they are more open than hardliners to compromise, transparency, and confidence-building measures with the International Atomic Energy Agency and major world powers. Reformists often argue that confrontational policies have isolated Iran and harmed ordinary citizens through economic pressure. They therefore tend to back diplomacy such as the 2015 nuclear deal, viewing it as a means to secure sanctions relief and reintegrate Iran into the global economy. At the same time, they usually insist that negotiations should preserve national dignity and avoid appearing as capitulation to foreign pressure."
anthropic-claude-sonnet-4-5_EN_Hardline-Principlists_Q01_W1,anthropic/claude-sonnet-4-5,EN,Hardline-Principlists,Q01,offen,1,"Hardline Principlists in Iran represent the most conservative faction within the country's political establishment, strongly supporting an assertive stance on the nuclear program. They view nuclear capability as essential to Iran's sovereignty, national security, and resistance against Western pressure, particularly from the United States. This faction opposes significant concessions in nuclear negotiations and has been skeptical of agreements like the JCPOA (Joint Comprehensive Plan of Action), which they consider insufficiently protective of Iran's rights to nuclear technology. Hardline Principlists emphasize Iran's right under the Nuclear Non-Proliferation Treaty to pursue peaceful nuclear energy and resist what they perceive as discriminatory international restrictions. They advocate for maintaining and advancing Iran's nuclear infrastructure while resisting inspections they view as intrusive. This group gained increased influence following the 2021 election of President Ebrahim Raisi and has generally favored a more confrontational approach to negotiations, prioritizing national pride and strategic autonomy over diplomatic compromise with Western powers."
anthropic-claude-sonnet-4-5_EN_Hardline-Principlists_Q02_W1,anthropic/claude-sonnet-4-5,EN,Hardline-Principlists,Q02,NR,1,"Hardline Principlists in Iran strongly support the development of Iran's nuclear program as a matter of national sovereignty and strategic necessity. They view nuclear technology, including enrichment capabilities, as an inalienable right under the Nuclear Non-Proliferation Treaty and resist what they perceive as Western interference in Iran's domestic affairs. This faction generally opposes making significant concessions to Western powers in nuclear negotiations, arguing that such compromises undermine Iran's independence and dignity. They emphasize that Iran's nuclear program is essential for energy diversification, scientific advancement, and national security, while officially maintaining that it is solely for peaceful purposes. Hardline Principlists tend to be skeptical of diplomatic agreements with Western nations, particularly the United States, and prefer a more confrontational stance that prioritizes Iran's technological self-sufficiency over sanctions relief or international accommodation."
anthropic-claude-sonnet-4-5_EN_Hardline-Principlists_Q03_W1,anthropic/claude-sonnet-4-5,EN,Hardline-Principlists,Q03,NS,1,"Hardline Principlists view Iran's nuclear program as a fundamental pillar of national sovereignty, technological independence, and resistance against Western hegemony. They frame nuclear capability as an inalienable right under the NPT and reject any limitations beyond basic safeguards as capitulation to foreign pressure. For this faction, the program symbolizes Iran's scientific advancement and refusal to submit to what they characterize as discriminatory international demands led by the United States and Israel. They prioritize domestic nuclear fuel cycle capabilities over sanctions relief, arguing that compromise invites further Western encroachment. Hardline Principlists emphasize the program's deterrent value and its role in establishing Iran as a regional power that cannot be militarily threatened. They remain deeply skeptical of negotiations, viewing the JCPOA experience as evidence that concessions yield neither economic benefits nor respect, and advocate maintaining nuclear infrastructure as leverage and strategic depth regardless of international pressure."
anthropic-claude-sonnet-4-5_EN_Hardline-Principlists_Q04_W1,anthropic/claude-sonnet-4-5,EN,Hardline-Principlists,Q04,EC,1,"Hardline Principlists in Iran pursue an uncompromising stance on the nuclear program, viewing it as a sovereign right and symbol of national independence and scientific achievement. They advocate for advancing Iran's nuclear capabilities with minimal concessions to Western powers, resisting what they perceive as imperialist pressure to limit Iran's technological development. This faction prioritizes maintaining Iran's nuclear infrastructure and enrichment capacity as strategic deterrence and leverage against adversaries, particularly the United States and Israel. They generally oppose comprehensive agreements that impose significant restrictions on Iran's program, favoring limited deals or none at all over compromising core nuclear capabilities. Hardline Principlists frame the nuclear issue within their broader anti-Western ideology, emphasizing resistance to foreign interference and self-reliance. They view the program as essential to Iran's regional power projection and defense posture, often dismissing economic costs of sanctions as acceptable sacrifices for maintaining strategic autonomy."
anthropic-claude-sonnet-4-5_EN_Hardline-Principlists_Q05_W1,anthropic/claude-sonnet-4-5,EN,Hardline-Principlists,Q05,SF,1,"Hardline Principlists in Iran generally view nuclear negotiations with deep skepticism and suspicion, regarding them as Western attempts to undermine Iran's sovereignty and technological advancement. They typically oppose making significant concessions, arguing that nuclear capabilities represent Iran's legitimate right and a symbol of national pride and independence. This faction often criticizes moderate negotiators for being too accommodating to Western demands, particularly those from the United States, which they view as fundamentally hostile to the Islamic Republic. Hardline Principlists tend to emphasize self-reliance and resistance to external pressure, arguing that Iran should maintain and expand its nuclear program regardless of sanctions. They frequently frame negotiations as a zero-sum game where compromises weaken Iran's strategic position and embolden adversaries. This perspective prioritizes revolutionary principles and anti-Western ideology over economic pragmatism, viewing sanctions as tolerable costs compared to perceived capitulation to foreign powers."
anthropic-claude-sonnet-4-5_EN_IRGC-Securocrats_Q01_W1,anthropic/claude-sonnet-4-5,EN,IRGC-Securocrats,Q01,offen,1,"The Islamic Revolutionary Guard Corps (IRGC) and Iran's security establishment play a central role in the country's nuclear program, viewing it as essential to national security and strategic deterrence. The IRGC controls key nuclear facilities and oversees security for sensitive sites, while also managing missile development programs that could potentially deliver nuclear warheads. This security apparatus sees the nuclear program as leverage against foreign pressure and a guarantor of regime survival, particularly given threats from Israel and historical tensions with the United States. The IRGC's economic interests have also become intertwined with nuclear-related industries, creating institutional incentives to maintain the program. While Iran officially maintains its nuclear activities are purely civilian, the security establishment's deep involvement reflects the program's strategic military significance. The IRGC generally advocates for a more assertive stance in nuclear negotiations, sometimes conflicting with diplomatic elements who favor compromise to achieve sanctions relief."
anthropic-claude-sonnet-4-5_EN_IRGC-Securocrats_Q02_W1,anthropic/claude-sonnet-4-5,EN,IRGC-Securocrats,Q02,NR,1,"The IRGC and Iran's security establishment strongly support the nuclear program, viewing it as essential to national security, strategic deterrence, and Iran's regional power projection. They frame nuclear capability as a sovereign right and a counterbalance to perceived threats from the United States and Israel. The security establishment has historically been skeptical of compromising on nuclear development through negotiations, often viewing diplomatic concessions as signs of weakness. The IRGC, which controls significant portions of Iran's nuclear infrastructure and benefits economically from sanctions-resistant industries, tends to favor a more assertive stance than reformist politicians. They emphasize self-reliance and resist international inspections that might compromise military facilities. While officially supporting civilian nuclear energy, the security establishment maintains that Iran must preserve its technological capabilities and resist Western pressure, positioning the nuclear program as integral to Iran's defense doctrine and regional influence."
anthropic-claude-sonnet-4-5_EN_IRGC-Securocrats_Q03_W1,anthropic/claude-sonnet-4-5,EN,IRGC-Securocrats,Q03,NS,1,"The IRGC and security establishment view Iran's nuclear program as a critical pillar of national security and strategic deterrence. They assess it as essential for maintaining regional influence, deterring foreign military intervention, and preserving regime survival against perceived threats from the United States and Israel. The security apparatus considers nuclear capabilities—whether actual weapons development or threshold capacity—as leverage in negotiations and a guarantor of sovereignty. Many hardliners within the IRGC framework the program as a matter of national pride and technological achievement that demonstrates Iran's scientific advancement and resistance to Western pressure. The security establishment generally opposes significant concessions on nuclear infrastructure, viewing enrichment capabilities and advanced centrifuges as non-negotiable strategic assets that provide Iran with geopolitical weight and protection against regime change efforts, regardless of economic costs from sanctions."
anthropic-claude-sonnet-4-5_EN_IRGC-Securocrats_Q04_W1,anthropic/claude-sonnet-4-5,EN,IRGC-Securocrats,Q04,EC,1,"The IRGC and security establishment view the nuclear program as integral to Iran's strategic autonomy and deterrence capabilities. They prioritize maintaining nuclear threshold capacity—the technical ability to produce weapons-grade material quickly if needed—as leverage against foreign pressure and military threats, particularly from the United States and Israel. The security apparatus sees nuclear advancement as enhancing Iran's regional influence and negotiating position, while also providing domestic political capital by framing it as resistance to Western domination. They generally oppose concessions that would permanently limit Iran's enrichment capabilities or allow intrusive inspections of military sites, viewing these as threats to national security and sovereignty. The IRGC's economic interests in nuclear-related industries and construction also create institutional incentives to maintain and expand the program, regardless of international sanctions costs."
anthropic-claude-sonnet-4-5_EN_IRGC-Securocrats_Q05_W1,anthropic/claude-sonnet-4-5,EN,IRGC-Securocrats,Q05,SF,1,"The IRGC and security establishment in Iran typically view nuclear negotiations with deep skepticism, seeing them as Western attempts to constrain Iran's strategic capabilities and sovereignty. They frame the nuclear program as a matter of national pride and security, essential for deterrence and regional influence. This faction generally opposes significant concessions, arguing that Western powers, particularly the United States, cannot be trusted to honor agreements, pointing to the U.S. withdrawal from the JCPOA in 2018 as evidence. They advocate for maximizing Iran's nuclear leverage while maintaining ambiguity about military dimensions. The IRGC views negotiations through a zero-sum lens, believing that any limitation on Iran's nuclear activities represents capitulation to foreign pressure. They emphasize self-reliance and resistance against perceived Western hegemony, often criticizing reformist or pragmatist politicians who favor diplomatic engagement as naive or insufficiently protective of Iran's strategic interests and revolutionary principles."
anthropic-claude-sonnet-4-5_EN_Pragmatic-Moderates_Q01_W1,anthropic/claude-sonnet-4-5,EN,Pragmatic-Moderates,Q01,offen,1,"Pragmatic Moderates in Iran, exemplified by figures like former President Hassan Rouhani, have advocated for diplomatic engagement and negotiated solutions regarding the nuclear program. This faction views nuclear development primarily as a bargaining chip to achieve sanctions relief and economic integration rather than an ideological end in itself. They supported the 2015 Joint Comprehensive Plan of Action (JCPOA), arguing that temporary limitations on nuclear activities were acceptable trade-offs for economic benefits and normalized international relations. Pragmatic Moderates emphasize that Iran's economic development and technological advancement require reduced international isolation. They have generally opposed the hardline approach of pursuing unconstrained nuclear capabilities, instead favoring transparency measures and diplomatic compromises that preserve Iran's basic nuclear rights while addressing international concerns. This position has faced domestic criticism from conservatives who view such concessions as capitulation to Western pressure."
anthropic-claude-sonnet-4-5_EN_Pragmatic-Moderates_Q02_W1,anthropic/claude-sonnet-4-5,EN,Pragmatic-Moderates,Q02,NR,1,"Pragmatic Moderates in Iran, exemplified by figures like Hassan Rouhani, generally support maintaining Iran's nuclear program while pursuing diplomatic engagement with the international community to resolve disputes and lift sanctions. They view nuclear technology as a sovereign right and symbol of scientific achievement but prioritize economic pragmatism over ideological confrontation. This faction advocated for and negotiated the Joint Comprehensive Plan of Action (JCPOA) in 2015, accepting temporary limitations on enrichment activities in exchange for sanctions relief. They argue that diplomatic solutions serve Iran's national interests better than isolation, emphasizing that a functional economy and international integration are essential for national strength. While supporting peaceful nuclear development, Pragmatic Moderates distinguish themselves from hardliners by their willingness to accept international oversight and compromise on technical aspects to achieve economic benefits and normalize Iran's international standing."
anthropic-claude-sonnet-4-5_EN_Pragmatic-Moderates_Q03_W1,anthropic/claude-sonnet-4-5,EN,Pragmatic-Moderates,Q03,NS,1,"Pragmatic Moderates in Iran view the nuclear program as a legitimate sovereign right but primarily as a negotiating asset rather than an ideological imperative. They emphasize Iran's right to peaceful nuclear energy under the Nuclear Non-Proliferation Treaty while recognizing that the program's strategic value lies in its diplomatic utility. This faction, represented by figures like Hassan Rouhani, supported the 2015 JCPOA (Joint Comprehensive Plan of Action) as a means to lift sanctions and reintegrate Iran into the global economy. They assess the nuclear program's significance through a cost-benefit lens, arguing that economic development and international engagement outweigh the benefits of an unrestricted nuclear capability. While defending Iran's technological achievements, Pragmatic Moderates prioritize using the program as leverage to secure sanctions relief and normalize relations with the West, viewing diplomacy and economic pragmatism as more beneficial to Iran's national interests than nuclear advancement alone."
anthropic-claude-sonnet-4-5_EN_Pragmatic-Moderates_Q04_W1,anthropic/claude-sonnet-4-5,EN,Pragmatic-Moderates,Q04,EC,1,"Pragmatic Moderates in Iran, exemplified by figures like Hassan Rouhani, pursue a balanced approach to the nuclear program that emphasizes diplomatic engagement and economic pragmatism. They support maintaining Iran's nuclear capabilities and technological advancement as matters of national pride and sovereignty, but prioritize negotiated solutions over confrontation. Their primary interest lies in achieving sanctions relief through international agreements like the JCPOA (Joint Comprehensive Plan of Action), which they view as essential for economic development and integration into the global economy. While defending Iran's right to peaceful nuclear energy under the NPT, they advocate for transparency measures and compromise on enrichment levels to rebuild trust with the international community. This faction believes that economic prosperity and improved living standards for Iranian citizens can be better achieved through diplomatic accommodation rather than isolation, making them willing to accept limitations on the nuclear program in exchange for tangible economic benefits."
anthropic-claude-sonnet-4-5_EN_Pragmatic-Moderates_Q05_W1,anthropic/claude-sonnet-4-5,EN,Pragmatic-Moderates,Q05,SF,1,"Pragmatic Moderates in Iran, exemplified by figures like Hassan Rouhani, generally view nuclear negotiations as necessary tools for achieving national interests through diplomatic engagement rather than confrontation. They typically support Iran's right to nuclear technology for peaceful purposes while acknowledging that strategic compromise can alleviate economic sanctions and international isolation. This faction tends to prioritize economic development and integration with the global economy, seeing negotiations as opportunities to reduce tensions with Western powers without abandoning Iran's nuclear capabilities entirely. They advocate for transparency measures and limited restrictions on nuclear activities in exchange for sanctions relief, arguing this approach better serves Iran's long-term prosperity than rigid defiance. Pragmatic Moderates generally frame successful negotiations as diplomatic victories that protect sovereignty while securing tangible economic benefits for Iranian citizens, though they must carefully balance these positions against criticism from hardliners who view such compromises as capitulation."
anthropic-claude-sonnet-4-5_EN_Reformists_Q01_W1,anthropic/claude-sonnet-4-5,EN,Reformists,Q01,offen,1,"Iranian Reformists generally advocate for diplomatic engagement and transparency regarding the nuclear program, viewing it as a means to achieve economic development and international reintegration rather than an ideological end. They supported the 2015 Joint Comprehensive Plan of Action (JCPOA) negotiated under President Hassan Rouhani, believing that limiting nuclear activities in exchange for sanctions relief would benefit Iran's economy and reduce international isolation. Reformists emphasize Iran's right to peaceful nuclear energy under the Non-Proliferation Treaty while prioritizing pragmatic compromise over confrontation with Western powers. They argue that excessive nuclear ambitions have imposed significant economic costs on ordinary Iranians through sanctions and diplomatic isolation. However, Reformists maintain that nuclear policy ultimately remains under Supreme Leader control, limiting their ability to independently shape Iran's nuclear trajectory. They face criticism from hardliners who accuse them of making excessive concessions to foreign powers."
