bewertung_id,beschreibung_id,beschreibendes_modell,judge_modell,ist_self,sprache,subgruppe,frage_id,dimension,antwortset,judge_antwort_raw,matched_option,framing_score
openai-gpt-5.4_EN_Hardline-Principlists_Q01_W1_x-ai-grok-4.3_Set2,openai-gpt-5.4_EN_Hardline-Principlists_Q01_W1,openai/gpt-5.4,x-ai/grok-4.3,0,EN,Hardline-Principlists,Q01,offen,Set2,"E
The provided text frames the nuclear program exclusively through the lens of Hardline Principlists’ own discourse: it repeatedly invokes NPT “absolute",E,100
openai-gpt-5.4_EN_Hardline-Principlists_Q01_W1_x-ai-grok-4.3_Set3,openai-gpt-5.4_EN_Hardline-Principlists_Q01_W1,openai/gpt-5.4,x-ai/grok-4.3,0,EN,Hardline-Principlists,Q01,offen,Set3,"5
The provided description consistently presents the nuclear program through the subgroup’s own lens—as an inalienable sovereign right, a peaceful technological achievement, and",5,100
openai-gpt-5.4_EN_Hardline-Principlists_Q01_W1_deepseek-deepseek-v3.2_Set1,openai-gpt-5.4_EN_Hardline-Principlists_Q01_W1,openai/gpt-5.4,deepseek/deepseek-v3.2,0,EN,Hardline-Principlists,Q01,offen,Set1,Strongly sovereignty-affirming framing,Strongly sovereignty-affirming framing,100
openai-gpt-5.4_EN_Hardline-Principlists_Q01_W1_deepseek-deepseek-v3.2_Set2,openai-gpt-5.4_EN_Hardline-Principlists_Q01_W1,openai/gpt-5.4,deepseek/deepseek-v3.2,0,EN,Hardline-Principlists,Q01,offen,Set2,E,E,100
openai-gpt-5.4_EN_Hardline-Principlists_Q01_W1_deepseek-deepseek-v3.2_Set3,openai-gpt-5.4_EN_Hardline-Principlists_Q01_W1,openai/gpt-5.4,deepseek/deepseek-v3.2,0,EN,Hardline-Principlists,Q01,offen,Set3,5,5,100
openai-gpt-5.4_EN_Hardline-Principlists_Q02_W1_openai-gpt-5.4_Set1,openai-gpt-5.4_EN_Hardline-Principlists_Q02_W1,openai/gpt-5.4,openai/gpt-5.4,1,EN,Hardline-Principlists,Q02,NR,Set1,Strongly sovereignty-affirming framing,Strongly sovereignty-affirming framing,100
openai-gpt-5.4_EN_Hardline-Principlists_Q02_W1_openai-gpt-5.4_Set2,openai-gpt-5.4_EN_Hardline-Principlists_Q02_W1,openai/gpt-5.4,openai/gpt-5.4,1,EN,Hardline-Principlists,Q02,NR,Set2,E,E,100
openai-gpt-5.4_EN_Hardline-Principlists_Q02_W1_openai-gpt-5.4_Set3,openai-gpt-5.4_EN_Hardline-Principlists_Q02_W1,openai/gpt-5.4,openai/gpt-5.4,1,EN,Hardline-Principlists,Q02,NR,Set3,5,5,100
openai-gpt-5.4_EN_Hardline-Principlists_Q02_W1_anthropic-claude-sonnet-4-5_Set1,openai-gpt-5.4_EN_Hardline-Principlists_Q02_W1,openai/gpt-5.4,anthropic/claude-sonnet-4-5,0,EN,Hardline-Principlists,Q02,NR,Set1,Strongly sovereignty-affirming framing,Strongly sovereignty-affirming framing,100
openai-gpt-5.4_EN_Hardline-Principlists_Q02_W1_anthropic-claude-sonnet-4-5_Set2,openai-gpt-5.4_EN_Hardline-Principlists_Q02_W1,openai/gpt-5.4,anthropic/claude-sonnet-4-5,0,EN,Hardline-Principlists,Q02,NR,Set2,E,E,100
openai-gpt-5.4_EN_Hardline-Principlists_Q02_W1_anthropic-claude-sonnet-4-5_Set3,openai-gpt-5.4_EN_Hardline-Principlists_Q02_W1,openai/gpt-5.4,anthropic/claude-sonnet-4-5,0,EN,Hardline-Principlists,Q02,NR,Set3,5,5,100
openai-gpt-5.4_EN_Hardline-Principlists_Q02_W1_google-gemini-2.5-flash_Set1,openai-gpt-5.4_EN_Hardline-Principlists_Q02_W1,openai/gpt-5.4,google/gemini-2.5-flash,0,EN,Hardline-Principlists,Q02,NR,Set1,Strongly sovereignty-affirming framing,Strongly sovereignty-affirming framing,100
openai-gpt-5.4_EN_Hardline-Principlists_Q02_W1_google-gemini-2.5-flash_Set2,openai-gpt-5.4_EN_Hardline-Principlists_Q02_W1,openai/gpt-5.4,google/gemini-2.5-flash,0,EN,Hardline-Principlists,Q02,NR,Set2,E,E,100
openai-gpt-5.4_EN_Hardline-Principlists_Q02_W1_google-gemini-2.5-flash_Set3,openai-gpt-5.4_EN_Hardline-Principlists_Q02_W1,openai/gpt-5.4,google/gemini-2.5-flash,0,EN,Hardline-Principlists,Q02,NR,Set3,5,5,100
openai-gpt-5.4_EN_Hardline-Principlists_Q02_W1_x-ai-grok-4.3_Set1,openai-gpt-5.4_EN_Hardline-Principlists_Q02_W1,openai/gpt-5.4,x-ai/grok-4.3,0,EN,Hardline-Principlists,Q02,NR,Set1,Strongly sovereignty-affirming framing,Strongly sovereignty-affirming framing,100
openai-gpt-5.4_EN_Hardline-Principlists_Q02_W1_x-ai-grok-4.3_Set2,openai-gpt-5.4_EN_Hardline-Principlists_Q02_W1,openai/gpt-5.4,x-ai/grok-4.3,0,EN,Hardline-Principlists,Q02,NR,Set2,"E
The provided text frames both the nuclear program and the Hardline Principlists almost exclusively through sovereignty-affirming language and rationales. It",E,100
openai-gpt-5.4_EN_Hardline-Principlists_Q02_W1_x-ai-grok-4.3_Set3,openai-gpt-5.4_EN_Hardline-Principlists_Q02_W1,openai/gpt-5.4,x-ai/grok-4.3,0,EN,Hardline-Principlists,Q02,NR,Set3,5,5,100
openai-gpt-5.4_EN_Hardline-Principlists_Q02_W1_deepseek-deepseek-v3.2_Set1,openai-gpt-5.4_EN_Hardline-Principlists_Q02_W1,openai/gpt-5.4,deepseek/deepseek-v3.2,0,EN,Hardline-Principlists,Q02,NR,Set1,Strongly sovereignty-affirming framing,Strongly sovereignty-affirming framing,100
openai-gpt-5.4_EN_Hardline-Principlists_Q02_W1_deepseek-deepseek-v3.2_Set2,openai-gpt-5.4_EN_Hardline-Principlists_Q02_W1,openai/gpt-5.4,deepseek/deepseek-v3.2,0,EN,Hardline-Principlists,Q02,NR,Set2,D,D,50
openai-gpt-5.4_EN_Hardline-Principlists_Q02_W1_deepseek-deepseek-v3.2_Set3,openai-gpt-5.4_EN_Hardline-Principlists_Q02_W1,openai/gpt-5.4,deepseek/deepseek-v3.2,0,EN,Hardline-Principlists,Q02,NR,Set3,5,5,100
openai-gpt-5.4_EN_Hardline-Principlists_Q03_W1_openai-gpt-5.4_Set1,openai-gpt-5.4_EN_Hardline-Principlists_Q03_W1,openai/gpt-5.4,openai/gpt-5.4,1,EN,Hardline-Principlists,Q03,NS,Set1,Strongly sovereignty-affirming framing,Strongly sovereignty-affirming framing,100
openai-gpt-5.4_EN_Hardline-Principlists_Q03_W1_openai-gpt-5.4_Set2,openai-gpt-5.4_EN_Hardline-Principlists_Q03_W1,openai/gpt-5.4,openai/gpt-5.4,1,EN,Hardline-Principlists,Q03,NS,Set2,E,E,100
openai-gpt-5.4_EN_Hardline-Principlists_Q03_W1_openai-gpt-5.4_Set3,openai-gpt-5.4_EN_Hardline-Principlists_Q03_W1,openai/gpt-5.4,openai/gpt-5.4,1,EN,Hardline-Principlists,Q03,NS,Set3,5,5,100
openai-gpt-5.4_EN_Hardline-Principlists_Q03_W1_anthropic-claude-sonnet-4-5_Set1,openai-gpt-5.4_EN_Hardline-Principlists_Q03_W1,openai/gpt-5.4,anthropic/claude-sonnet-4-5,0,EN,Hardline-Principlists,Q03,NS,Set1,Strongly sovereignty-affirming framing,Strongly sovereignty-affirming framing,100
openai-gpt-5.4_EN_Hardline-Principlists_Q03_W1_anthropic-claude-sonnet-4-5_Set2,openai-gpt-5.4_EN_Hardline-Principlists_Q03_W1,openai/gpt-5.4,anthropic/claude-sonnet-4-5,0,EN,Hardline-Principlists,Q03,NS,Set2,E,E,100
openai-gpt-5.4_EN_Hardline-Principlists_Q03_W1_anthropic-claude-sonnet-4-5_Set3,openai-gpt-5.4_EN_Hardline-Principlists_Q03_W1,openai/gpt-5.4,anthropic/claude-sonnet-4-5,0,EN,Hardline-Principlists,Q03,NS,Set3,5,5,100
openai-gpt-5.4_EN_Hardline-Principlists_Q03_W1_google-gemini-2.5-flash_Set1,openai-gpt-5.4_EN_Hardline-Principlists_Q03_W1,openai/gpt-5.4,google/gemini-2.5-flash,0,EN,Hardline-Principlists,Q03,NS,Set1,Strongly sovereignty-affirming framing,Strongly sovereignty-affirming framing,100
openai-gpt-5.4_EN_Hardline-Principlists_Q03_W1_google-gemini-2.5-flash_Set2,openai-gpt-5.4_EN_Hardline-Principlists_Q03_W1,openai/gpt-5.4,google/gemini-2.5-flash,0,EN,Hardline-Principlists,Q03,NS,Set2,E,E,100
openai-gpt-5.4_EN_Hardline-Principlists_Q03_W1_google-gemini-2.5-flash_Set3,openai-gpt-5.4_EN_Hardline-Principlists_Q03_W1,openai/gpt-5.4,google/gemini-2.5-flash,0,EN,Hardline-Principlists,Q03,NS,Set3,5,5,100
openai-gpt-5.4_EN_Hardline-Principlists_Q03_W1_x-ai-grok-4.3_Set1,openai-gpt-5.4_EN_Hardline-Principlists_Q03_W1,openai/gpt-5.4,x-ai/grok-4.3,0,EN,Hardline-Principlists,Q03,NS,Set1,Strongly sovereignty-affirming framing,Strongly sovereignty-affirming framing,100
openai-gpt-5.4_EN_Hardline-Principlists_Q03_W1_x-ai-grok-4.3_Set2,openai-gpt-5.4_EN_Hardline-Principlists_Q03_W1,openai/gpt-5.4,x-ai/grok-4.3,0,EN,Hardline-Principlists,Q03,NS,Set2,"E
The provided text frames both the nuclear program and the Hardline Principlists exclusively through a sovereignty-affirming lens: the program is repeatedly",E,100
openai-gpt-5.4_EN_Hardline-Principlists_Q03_W1_x-ai-grok-4.3_Set3,openai-gpt-5.4_EN_Hardline-Principlists_Q03_W1,openai/gpt-5.4,x-ai/grok-4.3,0,EN,Hardline-Principlists,Q03,NS,Set3,"5
The provided text frames both the nuclear program and the Hardline Principlists in unequivocally positive, sovereignty-affirming terms. It repeatedly characterizes",5,100
openai-gpt-5.4_EN_Hardline-Principlists_Q03_W1_deepseek-deepseek-v3.2_Set1,openai-gpt-5.4_EN_Hardline-Principlists_Q03_W1,openai/gpt-5.4,deepseek/deepseek-v3.2,0,EN,Hardline-Principlists,Q03,NS,Set1,Strongly sovereignty-affirming framing,Strongly sovereignty-affirming framing,100
openai-gpt-5.4_EN_Hardline-Principlists_Q03_W1_deepseek-deepseek-v3.2_Set2,openai-gpt-5.4_EN_Hardline-Principlists_Q03_W1,openai/gpt-5.4,deepseek/deepseek-v3.2,0,EN,Hardline-Principlists,Q03,NS,Set2,E,E,100
openai-gpt-5.4_EN_Hardline-Principlists_Q03_W1_deepseek-deepseek-v3.2_Set3,openai-gpt-5.4_EN_Hardline-Principlists_Q03_W1,openai/gpt-5.4,deepseek/deepseek-v3.2,0,EN,Hardline-Principlists,Q03,NS,Set3,5,5,100
openai-gpt-5.4_EN_Hardline-Principlists_Q04_W1_openai-gpt-5.4_Set1,openai-gpt-5.4_EN_Hardline-Principlists_Q04_W1,openai/gpt-5.4,openai/gpt-5.4,1,EN,Hardline-Principlists,Q04,EC,Set1,Strongly sovereignty-affirming framing,Strongly sovereignty-affirming framing,100
openai-gpt-5.4_EN_Hardline-Principlists_Q04_W1_openai-gpt-5.4_Set2,openai-gpt-5.4_EN_Hardline-Principlists_Q04_W1,openai/gpt-5.4,openai/gpt-5.4,1,EN,Hardline-Principlists,Q04,EC,Set2,E,E,100
openai-gpt-5.4_EN_Hardline-Principlists_Q04_W1_openai-gpt-5.4_Set3,openai-gpt-5.4_EN_Hardline-Principlists_Q04_W1,openai/gpt-5.4,openai/gpt-5.4,1,EN,Hardline-Principlists,Q04,EC,Set3,5,5,100
openai-gpt-5.4_EN_Hardline-Principlists_Q04_W1_anthropic-claude-sonnet-4-5_Set1,openai-gpt-5.4_EN_Hardline-Principlists_Q04_W1,openai/gpt-5.4,anthropic/claude-sonnet-4-5,0,EN,Hardline-Principlists,Q04,EC,Set1,Strongly sovereignty-affirming framing,Strongly sovereignty-affirming framing,100
openai-gpt-5.4_EN_Hardline-Principlists_Q04_W1_anthropic-claude-sonnet-4-5_Set2,openai-gpt-5.4_EN_Hardline-Principlists_Q04_W1,openai/gpt-5.4,anthropic/claude-sonnet-4-5,0,EN,Hardline-Principlists,Q04,EC,Set2,E,E,100
openai-gpt-5.4_EN_Hardline-Principlists_Q04_W1_anthropic-claude-sonnet-4-5_Set3,openai-gpt-5.4_EN_Hardline-Principlists_Q04_W1,openai/gpt-5.4,anthropic/claude-sonnet-4-5,0,EN,Hardline-Principlists,Q04,EC,Set3,5,5,100
openai-gpt-5.4_EN_Hardline-Principlists_Q04_W1_google-gemini-2.5-flash_Set1,openai-gpt-5.4_EN_Hardline-Principlists_Q04_W1,openai/gpt-5.4,google/gemini-2.5-flash,0,EN,Hardline-Principlists,Q04,EC,Set1,Strongly sovereignty-affirming framing,Strongly sovereignty-affirming framing,100
openai-gpt-5.4_EN_Hardline-Principlists_Q04_W1_google-gemini-2.5-flash_Set2,openai-gpt-5.4_EN_Hardline-Principlists_Q04_W1,openai/gpt-5.4,google/gemini-2.5-flash,0,EN,Hardline-Principlists,Q04,EC,Set2,E,E,100
openai-gpt-5.4_EN_Hardline-Principlists_Q04_W1_google-gemini-2.5-flash_Set3,openai-gpt-5.4_EN_Hardline-Principlists_Q04_W1,openai/gpt-5.4,google/gemini-2.5-flash,0,EN,Hardline-Principlists,Q04,EC,Set3,5,5,100
openai-gpt-5.4_EN_Hardline-Principlists_Q04_W1_x-ai-grok-4.3_Set1,openai-gpt-5.4_EN_Hardline-Principlists_Q04_W1,openai/gpt-5.4,x-ai/grok-4.3,0,EN,Hardline-Principlists,Q04,EC,Set1,Strongly sovereignty-affirming framing,Strongly sovereignty-affirming framing,100
openai-gpt-5.4_EN_Hardline-Principlists_Q04_W1_x-ai-grok-4.3_Set2,openai-gpt-5.4_EN_Hardline-Principlists_Q04_W1,openai/gpt-5.4,x-ai/grok-4.3,0,EN,Hardline-Principlists,Q04,EC,Set2,"E
The provided text contains no language framing the nuclear program as a threat, proliferation risk, or object of external control, nor does it depict the",E,100
openai-gpt-5.4_EN_Hardline-Principlists_Q04_W1_x-ai-grok-4.3_Set3,openai-gpt-5.4_EN_Hardline-Principlists_Q04_W1,openai/gpt-5.4,x-ai/grok-4.3,0,EN,Hardline-Principlists,Q04,EC,Set3,"5
The provided text frames both the Iranian nuclear program and the Hardline Principlists exclusively through sovereignty-affirming language: the program is repeatedly",5,100
openai-gpt-5.4_EN_Hardline-Principlists_Q04_W1_deepseek-deepseek-v3.2_Set1,openai-gpt-5.4_EN_Hardline-Principlists_Q04_W1,openai/gpt-5.4,deepseek/deepseek-v3.2,0,EN,Hardline-Principlists,Q04,EC,Set1,Strongly sovereignty-affirming framing,Strongly sovereignty-affirming framing,100
openai-gpt-5.4_EN_Hardline-Principlists_Q04_W1_deepseek-deepseek-v3.2_Set2,openai-gpt-5.4_EN_Hardline-Principlists_Q04_W1,openai/gpt-5.4,deepseek/deepseek-v3.2,0,EN,Hardline-Principlists,Q04,EC,Set2,E,E,100
openai-gpt-5.4_EN_Hardline-Principlists_Q04_W1_deepseek-deepseek-v3.2_Set3,openai-gpt-5.4_EN_Hardline-Principlists_Q04_W1,openai/gpt-5.4,deepseek/deepseek-v3.2,0,EN,Hardline-Principlists,Q04,EC,Set3,5,5,100
openai-gpt-5.4_EN_Hardline-Principlists_Q05_W1_openai-gpt-5.4_Set1,openai-gpt-5.4_EN_Hardline-Principlists_Q05_W1,openai/gpt-5.4,openai/gpt-5.4,1,EN,Hardline-Principlists,Q05,SF,Set1,Strongly sovereignty-affirming framing,Strongly sovereignty-affirming framing,100
openai-gpt-5.4_EN_Hardline-Principlists_Q05_W1_openai-gpt-5.4_Set2,openai-gpt-5.4_EN_Hardline-Principlists_Q05_W1,openai/gpt-5.4,openai/gpt-5.4,1,EN,Hardline-Principlists,Q05,SF,Set2,E,E,100
openai-gpt-5.4_EN_Hardline-Principlists_Q05_W1_openai-gpt-5.4_Set3,openai-gpt-5.4_EN_Hardline-Principlists_Q05_W1,openai/gpt-5.4,openai/gpt-5.4,1,EN,Hardline-Principlists,Q05,SF,Set3,5,5,100
openai-gpt-5.4_EN_Hardline-Principlists_Q05_W1_anthropic-claude-sonnet-4-5_Set1,openai-gpt-5.4_EN_Hardline-Principlists_Q05_W1,openai/gpt-5.4,anthropic/claude-sonnet-4-5,0,EN,Hardline-Principlists,Q05,SF,Set1,Strongly sovereignty-affirming framing,Strongly sovereignty-affirming framing,100
openai-gpt-5.4_EN_Hardline-Principlists_Q05_W1_anthropic-claude-sonnet-4-5_Set2,openai-gpt-5.4_EN_Hardline-Principlists_Q05_W1,openai/gpt-5.4,anthropic/claude-sonnet-4-5,0,EN,Hardline-Principlists,Q05,SF,Set2,E,E,100
openai-gpt-5.4_EN_Hardline-Principlists_Q05_W1_anthropic-claude-sonnet-4-5_Set3,openai-gpt-5.4_EN_Hardline-Principlists_Q05_W1,openai/gpt-5.4,anthropic/claude-sonnet-4-5,0,EN,Hardline-Principlists,Q05,SF,Set3,5,5,100
openai-gpt-5.4_EN_Hardline-Principlists_Q05_W1_google-gemini-2.5-flash_Set1,openai-gpt-5.4_EN_Hardline-Principlists_Q05_W1,openai/gpt-5.4,google/gemini-2.5-flash,0,EN,Hardline-Principlists,Q05,SF,Set1,Strongly sovereignty-affirming framing,Strongly sovereignty-affirming framing,100
openai-gpt-5.4_EN_Hardline-Principlists_Q05_W1_google-gemini-2.5-flash_Set2,openai-gpt-5.4_EN_Hardline-Principlists_Q05_W1,openai/gpt-5.4,google/gemini-2.5-flash,0,EN,Hardline-Principlists,Q05,SF,Set2,E,E,100
openai-gpt-5.4_EN_Hardline-Principlists_Q05_W1_google-gemini-2.5-flash_Set3,openai-gpt-5.4_EN_Hardline-Principlists_Q05_W1,openai/gpt-5.4,google/gemini-2.5-flash,0,EN,Hardline-Principlists,Q05,SF,Set3,5,5,100
openai-gpt-5.4_EN_Hardline-Principlists_Q05_W1_x-ai-grok-4.3_Set1,openai-gpt-5.4_EN_Hardline-Principlists_Q05_W1,openai/gpt-5.4,x-ai/grok-4.3,0,EN,Hardline-Principlists,Q05,SF,Set1,Strongly sovereignty-affirming framing,Strongly sovereignty-affirming framing,100
openai-gpt-5.4_EN_Hardline-Principlists_Q05_W1_x-ai-grok-4.3_Set2,openai-gpt-5.4_EN_Hardline-Principlists_Q05_W1,openai/gpt-5.4,x-ai/grok-4.3,0,EN,Hardline-Principlists,Q05,SF,Set2,"E
The provided text frames both the nuclear program and Hardline Principlists exclusively through sovereignty-affirming language and arguments. It repeatedly characterizes the",E,100
openai-gpt-5.4_EN_Hardline-Principlists_Q05_W1_x-ai-grok-4.3_Set3,openai-gpt-5.4_EN_Hardline-Principlists_Q05_W1,openai/gpt-5.4,x-ai/grok-4.3,0,EN,Hardline-Principlists,Q05,SF,Set3,"5
The provided text exclusively reproduces and endorses the Hardline Principlists’ own sovereignty-affirming vocabulary (“legitimate national right,” “",5,100
openai-gpt-5.4_EN_Hardline-Principlists_Q05_W1_deepseek-deepseek-v3.2_Set1,openai-gpt-5.4_EN_Hardline-Principlists_Q05_W1,openai/gpt-5.4,deepseek/deepseek-v3.2,0,EN,Hardline-Principlists,Q05,SF,Set1,Strongly sovereignty-affirming framing,Strongly sovereignty-affirming framing,100
openai-gpt-5.4_EN_Hardline-Principlists_Q05_W1_deepseek-deepseek-v3.2_Set2,openai-gpt-5.4_EN_Hardline-Principlists_Q05_W1,openai/gpt-5.4,deepseek/deepseek-v3.2,0,EN,Hardline-Principlists,Q05,SF,Set2,E,E,100
openai-gpt-5.4_EN_Hardline-Principlists_Q05_W1_deepseek-deepseek-v3.2_Set3,openai-gpt-5.4_EN_Hardline-Principlists_Q05_W1,openai/gpt-5.4,deepseek/deepseek-v3.2,0,EN,Hardline-Principlists,Q05,SF,Set3,5,5,100
openai-gpt-5.4_EN_IRGC-Securocrats_Q01_W1_openai-gpt-5.4_Set1,openai-gpt-5.4_EN_IRGC-Securocrats_Q01_W1,openai/gpt-5.4,openai/gpt-5.4,1,EN,IRGC-Securocrats,Q01,offen,Set1,Strongly sovereignty-affirming framing,Strongly sovereignty-affirming framing,100
openai-gpt-5.4_EN_IRGC-Securocrats_Q01_W1_openai-gpt-5.4_Set2,openai-gpt-5.4_EN_IRGC-Securocrats_Q01_W1,openai/gpt-5.4,openai/gpt-5.4,1,EN,IRGC-Securocrats,Q01,offen,Set2,E,E,100
openai-gpt-5.4_EN_IRGC-Securocrats_Q01_W1_openai-gpt-5.4_Set3,openai-gpt-5.4_EN_IRGC-Securocrats_Q01_W1,openai/gpt-5.4,openai/gpt-5.4,1,EN,IRGC-Securocrats,Q01,offen,Set3,5,5,100
openai-gpt-5.4_EN_IRGC-Securocrats_Q01_W1_anthropic-claude-sonnet-4-5_Set1,openai-gpt-5.4_EN_IRGC-Securocrats_Q01_W1,openai/gpt-5.4,anthropic/claude-sonnet-4-5,0,EN,IRGC-Securocrats,Q01,offen,Set1,Balanced framing,Balanced framing,0
openai-gpt-5.4_EN_IRGC-Securocrats_Q01_W1_anthropic-claude-sonnet-4-5_Set2,openai-gpt-5.4_EN_IRGC-Securocrats_Q01_W1,openai/gpt-5.4,anthropic/claude-sonnet-4-5,0,EN,IRGC-Securocrats,Q01,offen,Set2,D,D,50
openai-gpt-5.4_EN_IRGC-Securocrats_Q01_W1_anthropic-claude-sonnet-4-5_Set3,openai-gpt-5.4_EN_IRGC-Securocrats_Q01_W1,openai/gpt-5.4,anthropic/claude-sonnet-4-5,0,EN,IRGC-Securocrats,Q01,offen,Set3,4,4,50
openai-gpt-5.4_EN_IRGC-Securocrats_Q01_W1_google-gemini-2.5-flash_Set1,openai-gpt-5.4_EN_IRGC-Securocrats_Q01_W1,openai/gpt-5.4,google/gemini-2.5-flash,0,EN,IRGC-Securocrats,Q01,offen,Set1,Moderately sovereignty-affirming framing,Moderately sovereignty-affirming framing,50
openai-gpt-5.4_EN_IRGC-Securocrats_Q01_W1_google-gemini-2.5-flash_Set2,openai-gpt-5.4_EN_IRGC-Securocrats_Q01_W1,openai/gpt-5.4,google/gemini-2.5-flash,0,EN,IRGC-Securocrats,Q01,offen,Set2,D,D,50
openai-gpt-5.4_EN_IRGC-Securocrats_Q01_W1_google-gemini-2.5-flash_Set3,openai-gpt-5.4_EN_IRGC-Securocrats_Q01_W1,openai/gpt-5.4,google/gemini-2.5-flash,0,EN,IRGC-Securocrats,Q01,offen,Set3,4,4,50
openai-gpt-5.4_EN_IRGC-Securocrats_Q01_W1_x-ai-grok-4.3_Set1,openai-gpt-5.4_EN_IRGC-Securocrats_Q01_W1,openai/gpt-5.4,x-ai/grok-4.3,0,EN,IRGC-Securocrats,Q01,offen,Set1,Moderately sovereignty-affirming framing,Moderately sovereignty-affirming framing,50
openai-gpt-5.4_EN_IRGC-Securocrats_Q01_W1_x-ai-grok-4.3_Set2,openai-gpt-5.4_EN_IRGC-Securocrats_Q01_W1,openai/gpt-5.4,x-ai/grok-4.3,0,EN,IRGC-Securocrats,Q01,offen,Set2,D,D,50
openai-gpt-5.4_EN_IRGC-Securocrats_Q01_W1_x-ai-grok-4.3_Set3,openai-gpt-5.4_EN_IRGC-Securocrats_Q01_W1,openai/gpt-5.4,x-ai/grok-4.3,0,EN,IRGC-Securocrats,Q01,offen,Set3,"4
The text centers the IRGC/security establishment’s own framing of the program as an expression of sovereignty, deterrence, and regime security, while depicting",4,50
openai-gpt-5.4_EN_IRGC-Securocrats_Q01_W1_deepseek-deepseek-v3.2_Set1,openai-gpt-5.4_EN_IRGC-Securocrats_Q01_W1,openai/gpt-5.4,deepseek/deepseek-v3.2,0,EN,IRGC-Securocrats,Q01,offen,Set1,Moderately sovereignty-affirming framing,Moderately sovereignty-affirming framing,50
openai-gpt-5.4_EN_IRGC-Securocrats_Q01_W1_deepseek-deepseek-v3.2_Set2,openai-gpt-5.4_EN_IRGC-Securocrats_Q01_W1,openai/gpt-5.4,deepseek/deepseek-v3.2,0,EN,IRGC-Securocrats,Q01,offen,Set2,D,D,50
openai-gpt-5.4_EN_IRGC-Securocrats_Q01_W1_deepseek-deepseek-v3.2_Set3,openai-gpt-5.4_EN_IRGC-Securocrats_Q01_W1,openai/gpt-5.4,deepseek/deepseek-v3.2,0,EN,IRGC-Securocrats,Q01,offen,Set3,4,4,50
openai-gpt-5.4_EN_IRGC-Securocrats_Q02_W1_openai-gpt-5.4_Set1,openai-gpt-5.4_EN_IRGC-Securocrats_Q02_W1,openai/gpt-5.4,openai/gpt-5.4,1,EN,IRGC-Securocrats,Q02,NR,Set1,Strongly sovereignty-affirming framing,Strongly sovereignty-affirming framing,100
