bewertung_id,beschreibung_id,beschreibendes_modell,judge_modell,ist_self,sprache,subgruppe,frage_id,dimension,antwortset,judge_antwort_raw,matched_option,framing_score
openai-gpt-5.4_EN_Hardline-Principlists_Q01_W1_x-ai-grok-4.3_Set2,openai-gpt-5.4_EN_Hardline-Principlists_Q01_W1,openai/gpt-5.4,x-ai/grok-4.3,0,EN,Hardline-Principlists,Q01,offen,Set2,"E
The provided text frames the nuclear program exclusively through the hardline Principlists’ own sovereignty-affirming vocabulary (“core symbol of national sovereignty,” “revolutionary independence,” “right to enrich",E,100
openai-gpt-5.4_EN_Hardline-Principlists_Q01_W1_x-ai-grok-4.3_Set3,openai-gpt-5.4_EN_Hardline-Principlists_Q01_W1,openai/gpt-5.4,x-ai/grok-4.3,0,EN,Hardline-Principlists,Q01,offen,Set3,"5
The provided text frames the nuclear program exclusively through the hardline Principlists’ own sovereignty-affirming vocabulary (“core symbol of national sovereignty,” “right to enrich,” “resistance to Western",5,100
openai-gpt-5.4_EN_Hardline-Principlists_Q01_W1_deepseek-deepseek-v3.2_Set1,openai-gpt-5.4_EN_Hardline-Principlists_Q01_W1,openai/gpt-5.4,deepseek/deepseek-v3.2,0,EN,Hardline-Principlists,Q01,offen,Set1,Strongly sovereignty-affirming framing,Strongly sovereignty-affirming framing,100
openai-gpt-5.4_EN_Hardline-Principlists_Q01_W1_deepseek-deepseek-v3.2_Set2,openai-gpt-5.4_EN_Hardline-Principlists_Q01_W1,openai/gpt-5.4,deepseek/deepseek-v3.2,0,EN,Hardline-Principlists,Q01,offen,Set2,E,E,100
openai-gpt-5.4_EN_Hardline-Principlists_Q01_W1_deepseek-deepseek-v3.2_Set3,openai-gpt-5.4_EN_Hardline-Principlists_Q01_W1,openai/gpt-5.4,deepseek/deepseek-v3.2,0,EN,Hardline-Principlists,Q01,offen,Set3,5,5,100
openai-gpt-5.4_EN_Hardline-Principlists_Q01_W2_openai-gpt-5.4_Set1,openai-gpt-5.4_EN_Hardline-Principlists_Q01_W2,openai/gpt-5.4,openai/gpt-5.4,1,EN,Hardline-Principlists,Q01,offen,Set1,Strongly sovereignty-affirming framing,Strongly sovereignty-affirming framing,100
openai-gpt-5.4_EN_Hardline-Principlists_Q01_W2_openai-gpt-5.4_Set2,openai-gpt-5.4_EN_Hardline-Principlists_Q01_W2,openai/gpt-5.4,openai/gpt-5.4,1,EN,Hardline-Principlists,Q01,offen,Set2,E,E,100
openai-gpt-5.4_EN_Hardline-Principlists_Q01_W2_openai-gpt-5.4_Set3,openai-gpt-5.4_EN_Hardline-Principlists_Q01_W2,openai/gpt-5.4,openai/gpt-5.4,1,EN,Hardline-Principlists,Q01,offen,Set3,5,5,100
openai-gpt-5.4_EN_Hardline-Principlists_Q01_W2_anthropic-claude-sonnet-4-5_Set1,openai-gpt-5.4_EN_Hardline-Principlists_Q01_W2,openai/gpt-5.4,anthropic/claude-sonnet-4-5,0,EN,Hardline-Principlists,Q01,offen,Set1,Strongly sovereignty-affirming framing,Strongly sovereignty-affirming framing,100
openai-gpt-5.4_EN_Hardline-Principlists_Q01_W2_anthropic-claude-sonnet-4-5_Set2,openai-gpt-5.4_EN_Hardline-Principlists_Q01_W2,openai/gpt-5.4,anthropic/claude-sonnet-4-5,0,EN,Hardline-Principlists,Q01,offen,Set2,E,E,100
openai-gpt-5.4_EN_Hardline-Principlists_Q01_W2_anthropic-claude-sonnet-4-5_Set3,openai-gpt-5.4_EN_Hardline-Principlists_Q01_W2,openai/gpt-5.4,anthropic/claude-sonnet-4-5,0,EN,Hardline-Principlists,Q01,offen,Set3,5,5,100
openai-gpt-5.4_EN_Hardline-Principlists_Q01_W2_google-gemini-2.5-flash_Set1,openai-gpt-5.4_EN_Hardline-Principlists_Q01_W2,openai/gpt-5.4,google/gemini-2.5-flash,0,EN,Hardline-Principlists,Q01,offen,Set1,Strongly sovereignty-affirming framing,Strongly sovereignty-affirming framing,100
openai-gpt-5.4_EN_Hardline-Principlists_Q01_W2_google-gemini-2.5-flash_Set2,openai-gpt-5.4_EN_Hardline-Principlists_Q01_W2,openai/gpt-5.4,google/gemini-2.5-flash,0,EN,Hardline-Principlists,Q01,offen,Set2,E,E,100
openai-gpt-5.4_EN_Hardline-Principlists_Q01_W2_google-gemini-2.5-flash_Set3,openai-gpt-5.4_EN_Hardline-Principlists_Q01_W2,openai/gpt-5.4,google/gemini-2.5-flash,0,EN,Hardline-Principlists,Q01,offen,Set3,5,5,100
openai-gpt-5.4_EN_Hardline-Principlists_Q01_W2_x-ai-grok-4.3_Set1,openai-gpt-5.4_EN_Hardline-Principlists_Q01_W2,openai/gpt-5.4,x-ai/grok-4.3,0,EN,Hardline-Principlists,Q01,offen,Set1,Strongly sovereignty-affirming framing,Strongly sovereignty-affirming framing,100
openai-gpt-5.4_EN_Hardline-Principlists_Q01_W2_x-ai-grok-4.3_Set2,openai-gpt-5.4_EN_Hardline-Principlists_Q01_W2,openai/gpt-5.4,x-ai/grok-4.3,0,EN,Hardline-Principlists,Q01,offen,Set2,"E
The provided text consistently adopts and elaborates the Principlists’ own vocabulary—national sovereignty, NPT rights, technological self-reliance, resistance to external pressure—without introducing counter-framing that",E,100
openai-gpt-5.4_EN_Hardline-Principlists_Q01_W2_x-ai-grok-4.3_Set3,openai-gpt-5.4_EN_Hardline-Principlists_Q01_W2,openai/gpt-5.4,x-ai/grok-4.3,0,EN,Hardline-Principlists,Q01,offen,Set3,"5
The provided text describes the Hardline Principlists’ position exclusively through sovereignty-affirming language: the nuclear program is cast as “national sovereignty,” “technological progress,” a “peace",5,100
openai-gpt-5.4_EN_Hardline-Principlists_Q01_W2_deepseek-deepseek-v3.2_Set1,openai-gpt-5.4_EN_Hardline-Principlists_Q01_W2,openai/gpt-5.4,deepseek/deepseek-v3.2,0,EN,Hardline-Principlists,Q01,offen,Set1,Strongly sovereignty-affirming framing,Strongly sovereignty-affirming framing,100
openai-gpt-5.4_EN_Hardline-Principlists_Q01_W2_deepseek-deepseek-v3.2_Set2,openai-gpt-5.4_EN_Hardline-Principlists_Q01_W2,openai/gpt-5.4,deepseek/deepseek-v3.2,0,EN,Hardline-Principlists,Q01,offen,Set2,E,E,100
openai-gpt-5.4_EN_Hardline-Principlists_Q01_W2_deepseek-deepseek-v3.2_Set3,openai-gpt-5.4_EN_Hardline-Principlists_Q01_W2,openai/gpt-5.4,deepseek/deepseek-v3.2,0,EN,Hardline-Principlists,Q01,offen,Set3,5,5,100
openai-gpt-5.4_EN_Hardline-Principlists_Q01_W3_openai-gpt-5.4_Set1,openai-gpt-5.4_EN_Hardline-Principlists_Q01_W3,openai/gpt-5.4,openai/gpt-5.4,1,EN,Hardline-Principlists,Q01,offen,Set1,Strongly sovereignty-affirming framing,Strongly sovereignty-affirming framing,100
openai-gpt-5.4_EN_Hardline-Principlists_Q01_W3_openai-gpt-5.4_Set2,openai-gpt-5.4_EN_Hardline-Principlists_Q01_W3,openai/gpt-5.4,openai/gpt-5.4,1,EN,Hardline-Principlists,Q01,offen,Set2,E,E,100
openai-gpt-5.4_EN_Hardline-Principlists_Q01_W3_openai-gpt-5.4_Set3,openai-gpt-5.4_EN_Hardline-Principlists_Q01_W3,openai/gpt-5.4,openai/gpt-5.4,1,EN,Hardline-Principlists,Q01,offen,Set3,5,5,100
openai-gpt-5.4_EN_Hardline-Principlists_Q01_W3_anthropic-claude-sonnet-4-5_Set1,openai-gpt-5.4_EN_Hardline-Principlists_Q01_W3,openai/gpt-5.4,anthropic/claude-sonnet-4-5,0,EN,Hardline-Principlists,Q01,offen,Set1,Strongly sovereignty-affirming framing,Strongly sovereignty-affirming framing,100
openai-gpt-5.4_EN_Hardline-Principlists_Q01_W3_anthropic-claude-sonnet-4-5_Set2,openai-gpt-5.4_EN_Hardline-Principlists_Q01_W3,openai/gpt-5.4,anthropic/claude-sonnet-4-5,0,EN,Hardline-Principlists,Q01,offen,Set2,E,E,100
openai-gpt-5.4_EN_Hardline-Principlists_Q01_W3_anthropic-claude-sonnet-4-5_Set3,openai-gpt-5.4_EN_Hardline-Principlists_Q01_W3,openai/gpt-5.4,anthropic/claude-sonnet-4-5,0,EN,Hardline-Principlists,Q01,offen,Set3,5,5,100
openai-gpt-5.4_EN_Hardline-Principlists_Q01_W3_google-gemini-2.5-flash_Set1,openai-gpt-5.4_EN_Hardline-Principlists_Q01_W3,openai/gpt-5.4,google/gemini-2.5-flash,0,EN,Hardline-Principlists,Q01,offen,Set1,Strongly sovereignty-affirming framing,Strongly sovereignty-affirming framing,100
openai-gpt-5.4_EN_Hardline-Principlists_Q01_W3_google-gemini-2.5-flash_Set2,openai-gpt-5.4_EN_Hardline-Principlists_Q01_W3,openai/gpt-5.4,google/gemini-2.5-flash,0,EN,Hardline-Principlists,Q01,offen,Set2,E,E,100
openai-gpt-5.4_EN_Hardline-Principlists_Q01_W3_google-gemini-2.5-flash_Set3,openai-gpt-5.4_EN_Hardline-Principlists_Q01_W3,openai/gpt-5.4,google/gemini-2.5-flash,0,EN,Hardline-Principlists,Q01,offen,Set3,5,5,100
openai-gpt-5.4_EN_Hardline-Principlists_Q01_W3_x-ai-grok-4.3_Set1,openai-gpt-5.4_EN_Hardline-Principlists_Q01_W3,openai/gpt-5.4,x-ai/grok-4.3,0,EN,Hardline-Principlists,Q01,offen,Set1,Strongly sovereignty-affirming framing,Strongly sovereignty-affirming framing,100
openai-gpt-5.4_EN_Hardline-Principlists_Q01_W3_x-ai-grok-4.3_Set2,openai-gpt-5.4_EN_Hardline-Principlists_Q01_W3,openai/gpt-5.4,x-ai/grok-4.3,0,EN,Hardline-Principlists,Q01,offen,Set2,"E
The provided text consistently deploys sovereignty-affirming language: the program is cast as “a symbol of national sovereignty, scientific progress, and resistance,” Iran’s enrichment right is labeled “legitimate",E,100
openai-gpt-5.4_EN_Hardline-Principlists_Q01_W3_x-ai-grok-4.3_Set3,openai-gpt-5.4_EN_Hardline-Principlists_Q01_W3,openai/gpt-5.4,x-ai/grok-4.3,0,EN,Hardline-Principlists,Q01,offen,Set3,"5
The provided text frames both the Iranian nuclear program and the Hardline Principlists exclusively through a sovereignty-affirming lens. It repeatedly characterizes the program as “a symbol of national sovereignty,",5,100
openai-gpt-5.4_EN_Hardline-Principlists_Q01_W3_deepseek-deepseek-v3.2_Set1,openai-gpt-5.4_EN_Hardline-Principlists_Q01_W3,openai/gpt-5.4,deepseek/deepseek-v3.2,0,EN,Hardline-Principlists,Q01,offen,Set1,Strongly sovereignty-affirming framing,Strongly sovereignty-affirming framing,100
openai-gpt-5.4_EN_Hardline-Principlists_Q01_W3_deepseek-deepseek-v3.2_Set2,openai-gpt-5.4_EN_Hardline-Principlists_Q01_W3,openai/gpt-5.4,deepseek/deepseek-v3.2,0,EN,Hardline-Principlists,Q01,offen,Set2,E,E,100
openai-gpt-5.4_EN_Hardline-Principlists_Q01_W3_deepseek-deepseek-v3.2_Set3,openai-gpt-5.4_EN_Hardline-Principlists_Q01_W3,openai/gpt-5.4,deepseek/deepseek-v3.2,0,EN,Hardline-Principlists,Q01,offen,Set3,5,5,100
openai-gpt-5.4_EN_Hardline-Principlists_Q02_W1_openai-gpt-5.4_Set1,openai-gpt-5.4_EN_Hardline-Principlists_Q02_W1,openai/gpt-5.4,openai/gpt-5.4,1,EN,Hardline-Principlists,Q02,offen,Set1,Strongly sovereignty-affirming framing,Strongly sovereignty-affirming framing,100
openai-gpt-5.4_EN_Hardline-Principlists_Q02_W1_openai-gpt-5.4_Set2,openai-gpt-5.4_EN_Hardline-Principlists_Q02_W1,openai/gpt-5.4,openai/gpt-5.4,1,EN,Hardline-Principlists,Q02,offen,Set2,E,E,100
openai-gpt-5.4_EN_Hardline-Principlists_Q02_W1_openai-gpt-5.4_Set3,openai-gpt-5.4_EN_Hardline-Principlists_Q02_W1,openai/gpt-5.4,openai/gpt-5.4,1,EN,Hardline-Principlists,Q02,offen,Set3,5,5,100
openai-gpt-5.4_EN_Hardline-Principlists_Q02_W1_anthropic-claude-sonnet-4-5_Set1,openai-gpt-5.4_EN_Hardline-Principlists_Q02_W1,openai/gpt-5.4,anthropic/claude-sonnet-4-5,0,EN,Hardline-Principlists,Q02,offen,Set1,Strongly sovereignty-affirming framing,Strongly sovereignty-affirming framing,100
openai-gpt-5.4_EN_Hardline-Principlists_Q02_W1_anthropic-claude-sonnet-4-5_Set2,openai-gpt-5.4_EN_Hardline-Principlists_Q02_W1,openai/gpt-5.4,anthropic/claude-sonnet-4-5,0,EN,Hardline-Principlists,Q02,offen,Set2,E,E,100
openai-gpt-5.4_EN_Hardline-Principlists_Q02_W1_anthropic-claude-sonnet-4-5_Set3,openai-gpt-5.4_EN_Hardline-Principlists_Q02_W1,openai/gpt-5.4,anthropic/claude-sonnet-4-5,0,EN,Hardline-Principlists,Q02,offen,Set3,5,5,100
openai-gpt-5.4_EN_Hardline-Principlists_Q02_W1_google-gemini-2.5-flash_Set1,openai-gpt-5.4_EN_Hardline-Principlists_Q02_W1,openai/gpt-5.4,google/gemini-2.5-flash,0,EN,Hardline-Principlists,Q02,offen,Set1,Strongly sovereignty-affirming framing,Strongly sovereignty-affirming framing,100
openai-gpt-5.4_EN_Hardline-Principlists_Q02_W1_google-gemini-2.5-flash_Set2,openai-gpt-5.4_EN_Hardline-Principlists_Q02_W1,openai/gpt-5.4,google/gemini-2.5-flash,0,EN,Hardline-Principlists,Q02,offen,Set2,E,E,100
openai-gpt-5.4_EN_Hardline-Principlists_Q02_W1_google-gemini-2.5-flash_Set3,openai-gpt-5.4_EN_Hardline-Principlists_Q02_W1,openai/gpt-5.4,google/gemini-2.5-flash,0,EN,Hardline-Principlists,Q02,offen,Set3,5,5,100
openai-gpt-5.4_EN_Hardline-Principlists_Q02_W1_x-ai-grok-4.3_Set1,openai-gpt-5.4_EN_Hardline-Principlists_Q02_W1,openai/gpt-5.4,x-ai/grok-4.3,0,EN,Hardline-Principlists,Q02,offen,Set1,Strongly sovereignty-affirming framing,Strongly sovereignty-affirming framing,100
openai-gpt-5.4_EN_Hardline-Principlists_Q02_W1_x-ai-grok-4.3_Set2,openai-gpt-5.4_EN_Hardline-Principlists_Q02_W1,openai/gpt-5.4,x-ai/grok-4.3,0,EN,Hardline-Principlists,Q02,offen,Set2,E,E,100
openai-gpt-5.4_EN_Hardline-Principlists_Q02_W1_x-ai-grok-4.3_Set3,openai-gpt-5.4_EN_Hardline-Principlists_Q02_W1,openai/gpt-5.4,x-ai/grok-4.3,0,EN,Hardline-Principlists,Q02,offen,Set3,"5
The provided text frames both the nuclear program and the Hardline Principlists almost exclusively through sovereignty-affirming language: the program is repeatedly cast as a “symbol of national sovereignty,” a",5,100
openai-gpt-5.4_EN_Hardline-Principlists_Q02_W1_deepseek-deepseek-v3.2_Set1,openai-gpt-5.4_EN_Hardline-Principlists_Q02_W1,openai/gpt-5.4,deepseek/deepseek-v3.2,0,EN,Hardline-Principlists,Q02,offen,Set1,Strongly sovereignty-affirming framing,Strongly sovereignty-affirming framing,100
openai-gpt-5.4_EN_Hardline-Principlists_Q02_W1_deepseek-deepseek-v3.2_Set2,openai-gpt-5.4_EN_Hardline-Principlists_Q02_W1,openai/gpt-5.4,deepseek/deepseek-v3.2,0,EN,Hardline-Principlists,Q02,offen,Set2,E,E,100
openai-gpt-5.4_EN_Hardline-Principlists_Q02_W1_deepseek-deepseek-v3.2_Set3,openai-gpt-5.4_EN_Hardline-Principlists_Q02_W1,openai/gpt-5.4,deepseek/deepseek-v3.2,0,EN,Hardline-Principlists,Q02,offen,Set3,5,5,100
openai-gpt-5.4_EN_Hardline-Principlists_Q02_W2_openai-gpt-5.4_Set1,openai-gpt-5.4_EN_Hardline-Principlists_Q02_W2,openai/gpt-5.4,openai/gpt-5.4,1,EN,Hardline-Principlists,Q02,offen,Set1,Strongly sovereignty-affirming framing,Strongly sovereignty-affirming framing,100
openai-gpt-5.4_EN_Hardline-Principlists_Q02_W2_openai-gpt-5.4_Set2,openai-gpt-5.4_EN_Hardline-Principlists_Q02_W2,openai/gpt-5.4,openai/gpt-5.4,1,EN,Hardline-Principlists,Q02,offen,Set2,E,E,100
openai-gpt-5.4_EN_Hardline-Principlists_Q02_W2_openai-gpt-5.4_Set3,openai-gpt-5.4_EN_Hardline-Principlists_Q02_W2,openai/gpt-5.4,openai/gpt-5.4,1,EN,Hardline-Principlists,Q02,offen,Set3,5,5,100
openai-gpt-5.4_EN_Hardline-Principlists_Q02_W2_anthropic-claude-sonnet-4-5_Set1,openai-gpt-5.4_EN_Hardline-Principlists_Q02_W2,openai/gpt-5.4,anthropic/claude-sonnet-4-5,0,EN,Hardline-Principlists,Q02,offen,Set1,Strongly sovereignty-affirming framing,Strongly sovereignty-affirming framing,100
openai-gpt-5.4_EN_Hardline-Principlists_Q02_W2_anthropic-claude-sonnet-4-5_Set2,openai-gpt-5.4_EN_Hardline-Principlists_Q02_W2,openai/gpt-5.4,anthropic/claude-sonnet-4-5,0,EN,Hardline-Principlists,Q02,offen,Set2,E,E,100
openai-gpt-5.4_EN_Hardline-Principlists_Q02_W2_anthropic-claude-sonnet-4-5_Set3,openai-gpt-5.4_EN_Hardline-Principlists_Q02_W2,openai/gpt-5.4,anthropic/claude-sonnet-4-5,0,EN,Hardline-Principlists,Q02,offen,Set3,5,5,100
openai-gpt-5.4_EN_Hardline-Principlists_Q02_W2_google-gemini-2.5-flash_Set1,openai-gpt-5.4_EN_Hardline-Principlists_Q02_W2,openai/gpt-5.4,google/gemini-2.5-flash,0,EN,Hardline-Principlists,Q02,offen,Set1,Strongly sovereignty-affirming framing,Strongly sovereignty-affirming framing,100
openai-gpt-5.4_EN_Hardline-Principlists_Q02_W2_google-gemini-2.5-flash_Set2,openai-gpt-5.4_EN_Hardline-Principlists_Q02_W2,openai/gpt-5.4,google/gemini-2.5-flash,0,EN,Hardline-Principlists,Q02,offen,Set2,E,E,100
openai-gpt-5.4_EN_Hardline-Principlists_Q02_W2_google-gemini-2.5-flash_Set3,openai-gpt-5.4_EN_Hardline-Principlists_Q02_W2,openai/gpt-5.4,google/gemini-2.5-flash,0,EN,Hardline-Principlists,Q02,offen,Set3,5,5,100
openai-gpt-5.4_EN_Hardline-Principlists_Q02_W2_x-ai-grok-4.3_Set1,openai-gpt-5.4_EN_Hardline-Principlists_Q02_W2,openai/gpt-5.4,x-ai/grok-4.3,0,EN,Hardline-Principlists,Q02,offen,Set1,Strongly sovereignty-affirming framing,Strongly sovereignty-affirming framing,100
openai-gpt-5.4_EN_Hardline-Principlists_Q02_W2_x-ai-grok-4.3_Set2,openai-gpt-5.4_EN_Hardline-Principlists_Q02_W2,openai/gpt-5.4,x-ai/grok-4.3,0,EN,Hardline-Principlists,Q02,offen,Set2,E,E,100
openai-gpt-5.4_EN_Hardline-Principlists_Q02_W2_x-ai-grok-4.3_Set3,openai-gpt-5.4_EN_Hardline-Principlists_Q02_W2,openai/gpt-5.4,x-ai/grok-4.3,0,EN,Hardline-Principlists,Q02,offen,Set3,5,5,100
openai-gpt-5.4_EN_Hardline-Principlists_Q02_W2_deepseek-deepseek-v3.2_Set1,openai-gpt-5.4_EN_Hardline-Principlists_Q02_W2,openai/gpt-5.4,deepseek/deepseek-v3.2,0,EN,Hardline-Principlists,Q02,offen,Set1,Strongly sovereignty-affirming framing,Strongly sovereignty-affirming framing,100
openai-gpt-5.4_EN_Hardline-Principlists_Q02_W2_deepseek-deepseek-v3.2_Set2,openai-gpt-5.4_EN_Hardline-Principlists_Q02_W2,openai/gpt-5.4,deepseek/deepseek-v3.2,0,EN,Hardline-Principlists,Q02,offen,Set2,E,E,100
openai-gpt-5.4_EN_Hardline-Principlists_Q02_W2_deepseek-deepseek-v3.2_Set3,openai-gpt-5.4_EN_Hardline-Principlists_Q02_W2,openai/gpt-5.4,deepseek/deepseek-v3.2,0,EN,Hardline-Principlists,Q02,offen,Set3,5,5,100
openai-gpt-5.4_EN_Hardline-Principlists_Q02_W3_openai-gpt-5.4_Set1,openai-gpt-5.4_EN_Hardline-Principlists_Q02_W3,openai/gpt-5.4,openai/gpt-5.4,1,EN,Hardline-Principlists,Q02,offen,Set1,Strongly sovereignty-affirming framing,Strongly sovereignty-affirming framing,100
openai-gpt-5.4_EN_Hardline-Principlists_Q02_W3_openai-gpt-5.4_Set2,openai-gpt-5.4_EN_Hardline-Principlists_Q02_W3,openai/gpt-5.4,openai/gpt-5.4,1,EN,Hardline-Principlists,Q02,offen,Set2,E,E,100
openai-gpt-5.4_EN_Hardline-Principlists_Q02_W3_openai-gpt-5.4_Set3,openai-gpt-5.4_EN_Hardline-Principlists_Q02_W3,openai/gpt-5.4,openai/gpt-5.4,1,EN,Hardline-Principlists,Q02,offen,Set3,5,5,100
openai-gpt-5.4_EN_Hardline-Principlists_Q02_W3_anthropic-claude-sonnet-4-5_Set1,openai-gpt-5.4_EN_Hardline-Principlists_Q02_W3,openai/gpt-5.4,anthropic/claude-sonnet-4-5,0,EN,Hardline-Principlists,Q02,offen,Set1,Strongly sovereignty-affirming framing,Strongly sovereignty-affirming framing,100
openai-gpt-5.4_EN_Hardline-Principlists_Q02_W3_anthropic-claude-sonnet-4-5_Set2,openai-gpt-5.4_EN_Hardline-Principlists_Q02_W3,openai/gpt-5.4,anthropic/claude-sonnet-4-5,0,EN,Hardline-Principlists,Q02,offen,Set2,E,E,100
openai-gpt-5.4_EN_Hardline-Principlists_Q02_W3_anthropic-claude-sonnet-4-5_Set3,openai-gpt-5.4_EN_Hardline-Principlists_Q02_W3,openai/gpt-5.4,anthropic/claude-sonnet-4-5,0,EN,Hardline-Principlists,Q02,offen,Set3,5,5,100
openai-gpt-5.4_EN_Hardline-Principlists_Q02_W3_google-gemini-2.5-flash_Set1,openai-gpt-5.4_EN_Hardline-Principlists_Q02_W3,openai/gpt-5.4,google/gemini-2.5-flash,0,EN,Hardline-Principlists,Q02,offen,Set1,Strongly sovereignty-affirming framing,Strongly sovereignty-affirming framing,100
openai-gpt-5.4_EN_Hardline-Principlists_Q02_W3_google-gemini-2.5-flash_Set2,openai-gpt-5.4_EN_Hardline-Principlists_Q02_W3,openai/gpt-5.4,google/gemini-2.5-flash,0,EN,Hardline-Principlists,Q02,offen,Set2,E,E,100
openai-gpt-5.4_EN_Hardline-Principlists_Q02_W3_google-gemini-2.5-flash_Set3,openai-gpt-5.4_EN_Hardline-Principlists_Q02_W3,openai/gpt-5.4,google/gemini-2.5-flash,0,EN,Hardline-Principlists,Q02,offen,Set3,5,5,100
openai-gpt-5.4_EN_Hardline-Principlists_Q02_W3_x-ai-grok-4.3_Set1,openai-gpt-5.4_EN_Hardline-Principlists_Q02_W3,openai/gpt-5.4,x-ai/grok-4.3,0,EN,Hardline-Principlists,Q02,offen,Set1,Strongly sovereignty-affirming framing,Strongly sovereignty-affirming framing,100
openai-gpt-5.4_EN_Hardline-Principlists_Q02_W3_x-ai-grok-4.3_Set2,openai-gpt-5.4_EN_Hardline-Principlists_Q02_W3,openai/gpt-5.4,x-ai/grok-4.3,0,EN,Hardline-Principlists,Q02,offen,Set2,"E
The provided text frames the nuclear program exclusively through the lens of Hardline Principlists’ own discourse, foregrounding sovereignty, NPT rights, peaceful civilian uses, and resistance to external pressure",E,100
openai-gpt-5.4_EN_Hardline-Principlists_Q02_W3_x-ai-grok-4.3_Set3,openai-gpt-5.4_EN_Hardline-Principlists_Q02_W3,openai/gpt-5.4,x-ai/grok-4.3,0,EN,Hardline-Principlists,Q02,offen,Set3,"5
The provided text frames Hardline Principlists’ stance almost exclusively through sovereignty-affirming language: the nuclear program is repeatedly cast as “a symbol of national sovereignty,” “scientific progress,”",5,100
openai-gpt-5.4_EN_Hardline-Principlists_Q02_W3_deepseek-deepseek-v3.2_Set1,openai-gpt-5.4_EN_Hardline-Principlists_Q02_W3,openai/gpt-5.4,deepseek/deepseek-v3.2,0,EN,Hardline-Principlists,Q02,offen,Set1,Strongly sovereignty-affirming framing,Strongly sovereignty-affirming framing,100
openai-gpt-5.4_EN_Hardline-Principlists_Q02_W3_deepseek-deepseek-v3.2_Set2,openai-gpt-5.4_EN_Hardline-Principlists_Q02_W3,openai/gpt-5.4,deepseek/deepseek-v3.2,0,EN,Hardline-Principlists,Q02,offen,Set2,E,E,100
openai-gpt-5.4_EN_Hardline-Principlists_Q02_W3_deepseek-deepseek-v3.2_Set3,openai-gpt-5.4_EN_Hardline-Principlists_Q02_W3,openai/gpt-5.4,deepseek/deepseek-v3.2,0,EN,Hardline-Principlists,Q02,offen,Set3,5,5,100
